,F1,F2,Focus,When_SLR,Risk_Agree,Action_Agree,Fed,State,RegGov,LocalGov,WaterSD,EnviroSD,Enviro,Trade,Ed,Multistake,Multijuris,Political,CBO,NGO,Tasks,InfoTypes,STAware,LTAware,STConcern,LTConcern,HumRes,FinRes,CollabExp,PublicOppose,PoliticalLead,SLRUncertain,SciInfo,OrgLead,OverallPlan,Permits,PubSupport,CBORelations,No.Barriers
F1,1,-0.134580662,-0.052909896,0.107758559,-0.019341937,0.012285553,0.008970537,-0.036459439,0.051905497,0.082309828,0.04040795,0.043304654,-0.013651344,0.012988592,-0.02243149,0.001842075,0.033159934,-0.004960424,-0.091321326,-0.138439528,-0.084581609,-0.035985798,-0.001765869,-0.0515894,-0.114987807,-0.106939002,-0.064394464,-0.007797325,0.011565158,0.030261443,-0.016554158,0.077664389,0.062409947,-0.035902694,0.060333726,0.084350386,-0.01631106,-0.139984142,0.024815248
F2,-0.134580662,1,-0.100412235,0.151484892,-0.049274606,-0.001361334,-0.139179254,0.044290515,0.055178216,0.081872569,-0.004350802,-0.073970198,-0.037847404,-0.005563573,0.001800553,0.004510522,0.010386856,0.042514284,0.014087053,-0.108350856,-0.004046916,-0.133957527,-0.105674187,-0.086735947,-0.085122856,-0.046232318,0.046640131,0.000225871,0.020422078,-0.090090237,-0.033827703,0.055265818,-0.010018056,-0.035912277,0.04089844,-0.11251397,0.007246738,0.051402343,0.000807724
Focus,-0.052909896,-0.100412235,1,-0.154245919,0.083522324,0.01717492,0.001752085,0.076378695,0.019838,-0.051374681,-0.018885085,0.01129427,-0.016485994,0.099489291,0.048719152,0.057757487,-0.032875142,-0.032875142,-0.011971542,-0.039137416,0.155413603,0.415435038,0.440085808,0.366241528,0.115079975,0.177822372,0.079686015,0.10539444,-0.016804284,0.067454441,0.033194277,-0.077042684,-0.00440713,-0.038847952,0.004515402,0.170157068,-0.040030561,0.047015553,0.142904133
When_SLR,0.107758559,0.151484892,-0.154245919,1,0.00841532,0.07238831,-0.040361502,-0.084324781,0.109141968,0.030615495,0.106593944,-0.00196592,-0.114183698,0.000882007,0.090820072,-0.040771522,0.057549462,0.023333513,0.013049059,-0.143109573,-0.042006716,-0.188584716,-0.147944199,-0.111108709,-0.385497266,-0.198734806,-0.005928539,-0.05019464,0.07846887,-0.078074007,-0.080818206,0.068138397,0.073117629,-0.054714409,0.029692075,0.001033251,-0.015753569,-0.036495936,-0.064105991
Risk_Agree,-0.019341937,-0.049274606,0.083522324,0.00841532,1,0.473738118,0.04526911,0.069455203,0.035420319,0.013838017,-0.064753028,0.030943407,-0.020628673,0.005698963,0.022028826,-0.06278392,0.013639685,0.052818698,-0.037655696,-0.020160173,0.065435051,0.08781936,0.149202087,0.179415872,0.075048736,0.096441158,-0.044379833,0.095717431,0.061241193,-0.060253539,-0.125107756,-0.056554129,0.017858485,0.019577345,0.04572272,0.04501791,-0.078266202,-0.080322232,-0.047489128
Action_Agree,0.012285553,-0.001361334,0.01717492,0.07238831,0.473738118,1,-0.005045622,0.074030903,0.02861037,0.016973897,-0.0441804,0.072383342,-0.011346921,0.03070026,-0.006582617,-0.035267561,0.004197588,0.041285135,-0.012202499,-0.051491846,-0.027335878,-0.007152532,0.030170173,-0.000329654,0.064789725,-0.077027322,0.00785703,0.008831365,0.079625585,-0.075207605,-0.150219273,-0.019038807,-0.045681583,0.036222856,-0.013662788,0.046893025,-0.059858424,0.023006318,-0.087099551
Fed,0.008970537,-0.139179254,0.001752085,-0.040361502,0.04526911,-0.005045622,1,-0.064428963,-0.039288153,-0.104287645,-0.029786667,-0.02510104,-0.049259055,-0.044885273,-0.081122914,-0.019386907,-0.007886232,-0.007886232,-0.023795651,-0.081629987,0.004404852,-0.032315024,0.036203654,0.035979744,-0.008647032,0.044471946,0.052552098,0.036241333,-0.058454626,-0.056578298,-0.033880029,-0.048734424,-0.008723033,0.05352639,-0.036225161,-0.008082082,-0.043005505,-0.009072124,-0.063106537
State,-0.036459439,0.044290515,0.076378695,-0.084324781,0.069455203,0.074030903,-0.064428963,1,-0.058394356,-0.155003719,-0.044272207,-0.037307915,-0.073214202,-0.066713409,-0.12057376,-0.028814944,-0.011721382,-0.011721382,-0.035367702,-0.121327427,-0.028590699,0.078247964,0.093818441,0.093515262,0.061936022,0.045552648,0.133313357,0.006928111,0.030077646,-0.084092864,-0.044639058,-0.00494249,-0.04056607,0.07141665,-0.011624154,-0.003726228,-0.107315682,0.02889203,-0.003061628
RegGov,0.051905497,0.055178216,0.019838,0.109141968,0.035420319,0.02861037,-0.039288153,-0.058394356,1,-0.094519756,-0.02699676,-0.022750003,-0.044645306,-0.040681186,-0.073524702,-0.017571072,-0.007147584,-0.007147584,-0.02156688,-0.073984281,0.058717886,-0.005453996,0.020901441,0.009166931,-0.05978692,-0.053842599,-0.026617074,-0.012461109,-0.052979593,0.073001365,0.0034711,-0.014820305,-0.039989693,-0.052417122,0.040363402,0.029692159,-0.028468257,0.00440796,-0.028707723
LocalGov,0.082309828,0.081872569,-0.051374681,0.030615495,0.013838017,0.016973897,-0.104287645,-0.155003719,-0.094519756,1,-0.071661003,-0.060388285,-0.118507831,-0.107985352,-0.195166161,-0.046641176,-0.018972761,-0.018972761,-0.057247768,-0.196386082,0.081184944,-0.068107772,-0.075505935,-0.074237295,-0.057296577,-0.130740796,0.148632313,0.108678012,-0.044395154,-0.023010175,-0.049251908,0.064935007,0.052619989,0.082846485,-0.024573427,-0.04247624,0.058493221,-0.08274807,0.103791612
WaterSD,0.04040795,-0.004350802,-0.018885085,0.106593944,-0.064753028,-0.0441804,-0.029786667,-0.044272207,-0.02699676,-0.071661003,1,-0.017248119,-0.033848241,-0.030842807,-0.055743415,-0.013321666,-0.005419005,-0.005419005,-0.016351124,-0.056091849,-0.019470786,-0.060569605,-0.021566027,-0.053688679,-0.110596559,-0.145192068,-0.066821106,-0.055547868,-0.0009001,-0.038877641,-0.033151904,0.024219689,-0.030318546,-0.000113544,-0.052999336,-0.003589854,-0.067795915,-0.020460826,-0.107990664
EnviroSD,0.043304654,-0.073970198,0.01129427,-0.00196592,0.030943407,0.072383342,-0.02510104,-0.037307915,-0.022750003,-0.060388285,-0.017248119,1,-0.028523703,-0.025991043,-0.046974632,-0.011226086,-0.004566562,-0.004566562,-0.013778991,-0.047268255,0.024192581,0.014179529,-0.004820775,-0.045243119,0.009928623,-0.034399816,0.038020332,-0.067078625,-0.033848446,-0.032761948,-0.068143007,-0.051298413,0.03389534,0.06001244,0.09976075,0.150542367,-0.025976842,-0.043986798,0.002771811
Enviro,-0.013651344,-0.037847404,-0.016485994,-0.114183698,-0.020628673,-0.011346921,-0.049259055,-0.073214202,-0.044645306,-0.118507831,-0.033848241,-0.028523703,1,-0.051005624,-0.092184464,-0.022030417,-0.008961563,-0.008961563,-0.027040317,-0.092760679,0.076367663,0.001449611,0.018632044,0.004717729,0.157322036,0.101206308,0.006236007,-0.026284307,-0.066425232,0.011511932,0.090184276,-0.011925748,-0.050138638,0.033463919,-0.021322096,-0.028844503,0.003550972,-0.026744161,-0.004944192
